Title,Sub_title,Price in Euro per month,Features,Surface_area,No of rooms,Agent
Apartment Prinsengracht,1017 KK Amsterdam (De Weteringschans),4500,Upholstered,185,6,Keizerskroon makelaars
Apartment Sint Willibrordusstraat,1073 VC Amsterdam (Nieuwe Pijp),3000,Furnished,105,3,Out Amsterdam
Apartment Rooseveltlaan 40 2,1078 NK Amsterdam (Scheldebuurt),3500,Upholstered,128,5,Koops Makelaardij Amsterdam
Apartment Ruysdaelstraat,1071 WZ Amsterdam (Museumkwartier),2300,Upholstered,66,3,BrinkBorgh Makelaardij
Apartment Orteliuskade,1057 AH Amsterdam (Hoofdweg e.o.),1725,Furnished,62,3,Expathousing.com (Amsterdam)
Apartment Leidsekade 102 D,1017 PP Amsterdam (De Weteringschans),4500,Furnished,141,3,Urban Homies
Apartment Prinsengracht 17 C,1015 DK Amsterdam (Grachtengordel-West),2300,Upholstered,80,4,Broersma Makelaardij
Apartment Weteringschans,1017 RW Amsterdam (De Weteringschans),2200,Upholstered,70,3,Great Expatation
Apartment Eerste Helmersstraat 188 3,1054 EL Amsterdam (Overtoomse Sluis),2000,Furnished,64,3,Van Huis Uit Makelaars
Apartment Pieter Oosterhuisstraat,1087 HT Amsterdam (IJburg Zuid),2350,Upholstered or furnished,112,3,Expats. Amsterdam Rentals
Apartment IJburglaan,1086 ZJ Amsterdam (IJburg West),1350,Upholstered,42,2,BIC Makelaardij
Apartment Govert Flinckstraat,1073 CJ Amsterdam (Oude Pijp),2750,²3 rooms1900,72,3,I AM REAL ESTATE
Apartment Rustenburgerstraat 146 A20,1073 GJ Amsterdam (Nieuwe Pijp),2300,Furnished,55,3,ViaDaan
Apartment Bankastraat,1094 EB Amsterdam (Indische Buurt West),1600,²2 rooms1900,60,2,I AM REAL ESTATE
Apartment Ertskade 22,1019 BB Amsterdam (Oostelijk Havengebied),2400,Upholstered,138,4,LIV Residential
Apartment Oudeschans 7 D,1011 KP Amsterdam (Nieuwmarkt/Lastage),2950,Upholstered,90,3,Haagen & Partners
Apartment Vrolikstraat 290 2,1092 VA Amsterdam (Oosterparkbuurt),2100,Furnished,54,3,Smit & Heinen Makelaars en Taxateurs
Apartment Osdorpplein,1068 TD Amsterdam (Osdorp-Oost),2150,Furnished,74,3,123Wonen Amsterdam
Apartment Osdorpplein,1068 TD Amsterdam (Osdorp-Oost),1650,²2 rooms2021-2030,65,2,Rebid
House Leidsegracht,1016 CP Amsterdam (Grachtengordel-West),6000,²,201,6,Heeren Makelaars B.V.
Apartment Reyer Anslostraat 19 hs,1054 KT Amsterdam (Overtoomse Sluis),2850,²,103,3,Raadsheer Baart
Apartment Derde Helmersstraat,1054 BM Amsterdam (Helmersbuurt),2150,Upholstered,68,3,Michiel Stolker Real Estate
Apartment Frederiksstraat,1054 LB Amsterdam (Overtoomse Sluis),2350,Furnished,50,3,Expat Rentals Amsterdam
Apartment Vierwindendwarsstraat 17,1013 LB Amsterdam (Haarlemmerbuurt),2250,Upholstered,63,3,Rent a Stone
Apartment Volewijkshof 33,1031 AG Amsterdam (Volewijck),1600,²,75,3,Hoen Vastgoedbeheer
Apartment Stadionweg 154 A,1077 TA Amsterdam (Apollobuurt),3000,Upholstered,120,4,AmsterHomes
Apartment Ophemerthof,1106 VS Amsterdam (Holendrecht/Reigersbos),1600,Furnished,60,3,Verhuurmakelaar Bas
Apartment Kastelenstraat 307 3,1082 EH Amsterdam (Buitenveldert-West),1650,²3 rooms1961,75,3,Heimstaden
Apartment Rijnstraat,1078 RB Amsterdam (IJselbuurt),1250,²2 rooms1922,35,2,Tolsma Vastgoed Beheer
Apartment Lorreinenstraat 8 H,1055 CZ Amsterdam (Erasmuspark),2150,Furnished,85,3,The Tenants Group
Apartment Jacob van Lennepstraat 64 2B,1053 HL Amsterdam (Van Lennepbuurt),1750,Furnished,40,2,Van Huis Uit Makelaars
Apartment Koninginneweg,1075 EE Amsterdam (Willemspark),2950,²3 rooms1912,90,3,Brummel & Beuk Makelaars
Apartment Barentszplein,1013 NJ Amsterdam (Spaarndammer- en Zeeheldenbuurt),2500,Furnished,83,2,NOORESTATE
Apartment Sassenheimstraat 65 C,1059 BD Amsterdam (Hoofddorppleinbuurt),3750,Upholstered,115,5,AmsterHomes
Apartment Kuipersstraat,1074 EK Amsterdam (Nieuwe Pijp),2950,Upholstered,77,3,A Plus Apartments
Apartment Admiraal De Ruijterweg,1055 MV Amsterdam (Landlust),3975,²,110,5,Hausing
Apartment Jan Evertsenstraat,1056 EG Amsterdam (Van Galenbuurt),1595,Upholstered,49,3,Expathousing.com (Amsterdam)
Apartment Van Spilbergenstraat,1057 RJ Amsterdam (Hoofdweg e.o.),1850,Upholstered or furnished,55,3,The Perfect House
Apartment Derde Helmersstraat,1054 BM Amsterdam (Helmersbuurt),2250,Upholstered,68,3,Michiel Stolker Real Estate
Apartment Derde Helmersstraat,1054 BM Amsterdam (Helmersbuurt),4000,Upholstered,122,4,Michiel Stolker Real Estate
Apartment Oostenburgergracht 57 B,1018 NB Amsterdam (Oostelijke Eilanden/Kadijken),2650,Furnished,80,3,Oei Housing Amsterdam - Expat Apartments
House Lijnbaansgracht,1015 GS Amsterdam (Jordaan),2300,Furnished,57,3,Hoofdstad Makelaars
Apartment Frans van Mierisstraat,1071 RV Amsterdam (Museumkwartier),4250,Upholstered,107,4,NOORESTATE
Apartment Rustenburgerstraat 146 A20,1073 GJ Amsterdam (Nieuwe Pijp),2300,Furnished,55,3,ViaDaan
House Plantage Muidergracht,1018 TM Amsterdam (Weesperbuurt/Plantage),1850,²2 rooms1906-1930,55,2,Rebid
Apartment Maritzstraat 14 3,1091 KW Amsterdam (Transvaalbuurt),1800,Furnished,48,2,Expat Rental Scout
House Bosplaat,1025 AR Amsterdam (Buikslotermeer),2500,²,130,3,F.E. Real Estate
Apartment Hunzestraat 126 2,1079 WJ Amsterdam (Rijnbuurt),2750,Upholstered,115,4,Amsterdam Housing
Apartment Kerkstraat,1017 HX Amsterdam (Grachtengordel-Zuid),2500,Furnished,70,3,Amsterdam Rentals
Apartment Eerste Helmersstraat 289 2,1054 EA Amsterdam (Overtoomse Sluis),3100,Furnished,70,3,Expat Rental Scout
Apartment Mercatorstraat 38 3,1056 RH Amsterdam (Van Galenbuurt),1850,Furnished,65,3,De Nieuwe Verhuurmakelaar
Apartment Albert Cuypstraat,1073 BK Amsterdam (Oude Pijp),2145,Furnished,70,2,Expathousing.com (Amsterdam)
Apartment Eerste Jan van der Heijdenstraat,1072 TS Amsterdam (Oude Pijp),1695,²,55,3,Tolsma Vastgoed Beheer
House Dichtershofje 2,1053 RR Amsterdam (Kinkerbuurt),2350,Furnished,77,3,Yourhome Makelaars
Apartment Gustav Mahlerlaan 931,1082 MK Amsterdam (Zuidas),3400,Furnished,110,3,Amsterdam Housing
Apartment De Egmondenstraat 213,1024 SJ Amsterdam (Waterlandpleinbuurt),1950,Upholstered or furnished,68,3,Yourhome Makelaars
Apartment Meer en Vaart 38 C,1068 ZZ Amsterdam (Osdorp-Oost),1910,²4 rooms2006,166,4,Grand Relocation
Apartment Spinozastraat,1018 HJ Amsterdam (Weesperbuurt/Plantage),3450,Furnished,140,5,Hausing
Apartment Overtoom,1054 JD Amsterdam (Helmersbuurt),2500,Upholstered,87,3,Relocation Advisers B.V.
House Leidsegracht,1017 NC Amsterdam (De Weteringschans),2000,Upholstered,120,3,Koops Makelaardij Amsterdam
Apartment Montelbaanstraat,1011 EG Amsterdam (Nieuwmarkt/Lastage),1950,Upholstered,52,3,BrinkBorgh Makelaardij
